route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type2_id,valid_from,valid_until
10,3,"10","","LEŚNICA - Średzka - Kosmonautów - Lotnicza - Legnicka - Kazimierza Wielkiego - Oławska - pl. Powstańców Warszawy - Wyszyńskiego - Szczytnicka - rondo Reagana - Wróblewskiego - Olszewskiego - BISKUPIN|BISKUPIN - Wróblewskiego - rondo Reagana - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Kazimierza Wielkiego - Legnicka - Lotnicza - Kosmonautów - Średzka - LEŚNICA",0,31,"2024-11-12","2999-01-01"
11,3,"11","","KROMERA - Toruńska - Jedności Narodowej - Poniatowskiego - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Kazimierza Wielkiego - Krupnicza - Sądowa - Grabiszyńska - OPORÓW|OPORÓW - Krupnicza - Kazimierza Wielkiego - Bł. Czesława - Św. Katarzyny - Piaskowa - pl. Bema - Bema - Poniatowskiego - Jedności Narodowej - Aleja Kromera - KROMERA",0,31,"2024-11-12","2999-01-01"
12,3,"12","","KOZANÓW (DOKERSKA) - Dokerska - Pilczycka - Legnicka - Kazimierza Wielkiego - Oławska - pl. Powstańców Warszawy - pl. Grunwaldzki - rondo Reagana - pl. Grunwaldzki - Aleja Kochanowskiego - Aleja Różyckiego - Aleja Paderewskiego - Mickiewicza - SĘPOLNO|SĘPOLNO - Aleja Paderewskiego - Aleja Różyckiego - Aleja Kochanowskiego - pl. Grunwaldzki - rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Oławska - Kazimierza Wielkiego - Legnicka - Pilczycka - GÓRNICZA",0,31,"2024-11-12","2999-01-01"
13,3,"13","","WROCŁAW NOWY DWÓR (P+R) - TAT - Śrubowa - Złotoryjska - Legnicka - Kazimierza Wielkiego - Oławska - pl. Powstańców Warszawy - pl. Grunwaldzki - rondo Reagana - pl. Grunwaldzki - Aleja Kochanowskiego - Aleja Różyckiego - Aleja Paderewskiego - STADION OLIMPIJSKI|STADION OLIMPIJSKI - Aleja Różyckiego - Aleja Kochanowskiego - pl. Grunwaldzki - rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Oławska - Kazimierza Wielkiego - Legnicka - Złotoryjska - TAT - WROCŁAW NOWY DWÓR (P+R)",0,31,"2024-11-12","2999-01-01"
14,3,"14","","KRZYKI - Karkonoska - Powstańców Śląskich - Aleja Hallera - Grabiszyńska - Piłsudskiego - Podwale - Dmowskiego - Dubois - Pomorska - Reymonta - Osobowicka - OSOBOWICE|OSOBOWICE - Reymonta - Pomorska - Dubois - Jagiełły - Podwale - Piłsudskiego - Grabiszyńska - Aleja Hallera - Powstańców Śląskich - Karkonoska - KRZYKI",0,31,"2024-11-12","2999-01-01"
15,3,"15","","PARK POŁUDNIOWY - Ślężna - Borowska - Stawowa - Piłsudskiego - Podwale - Dmowskiego - Dubois - Pomorska - Reymonta - Bałtycka - Żmigrodzka - POŚWIĘTNE|POŚWIĘTNE - Bałtycka - Reymonta - Pomorska - Dubois - Jagiełły - Podwale - Piłsudskiego - Borowska - Ślężna - PARK POŁUDNIOWY",0,31,"2024-11-12","2999-01-01"
16,3,"16","","TARNOGAJ - Tarnogajska - Aleja Armii Krajowej - Bardzka - Hubska - Pułaskiego - Traugutta - pl. Powstańców Warszawy - pl. Grunwaldzki - rondo Reagana - Piastowska - Nowowiejska - Jedności Narodowej - Poniatowskiego - Drobnera - Pomorska - pl. Staszica - pl. Powstańców Wielkopolskich - Trzebnicka - Żmigrodzka - POŚWIĘTNE|POŚWIĘTNE - Trzebnicka - pl. Powstańców Wielkopolskich - pl. Staszica - Pomorska - Drobnera - pl. Bema - Bema - Poniatowskiego - Jedności Narodowej - Nowowiejska - Piastowska - rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Traugutta - Pułaskiego - Hubska - Bardzka - Aleja Armii Krajowej - Tarnogajska - TARNOGAJ",0,31,"2024-11-12","2999-01-01"
17,3,"17","","KLECINA - Wałbrzyska - Przyjaźni - Karkonoska - Powstańców Śląskich - pl. Powstańców Śląskich - Powstańców Śląskich - Świdnicka - pl. Teatralny - Teatralna - Bł. Czesława - Św. Katarzyny - Piaskowa - Sienkiewicza - Aleja Kochanowskiego - Aleja Różyckiego - Aleja Paderewskiego - Mickiewicza - SĘPOLNO|SĘPOLNO - Aleja Paderewskiego - Aleja Różyckiego - Aleja Kochanowskiego - Grunwaldzka - Sienkiewicza - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Teatralna - pl. Teatralny - Świdnicka - Powstańców Śląskich - Karkonoska - Przyjaźni - Wałbrzyska - KLECINA",0,31,"2024-11-12","2999-01-01"
18,3,"18","","GAJ - Świeradowska - Bardzka - Hubska - Gliniana - Borowska - Peronowa - Kołłątaja - Teatralna - Widok - Kazimierza Wielkiego - Pomorska - Dubois - Dmowskiego - Długa - Popowicka - Pilczycka - Maślicka - Pilczycka - TARCZYŃSKI ARENA (KRÓLEWIECKA)|TARCZYŃSKI ARENA (KRÓLEWIECKA) - Maślicka - Pilczycka - Popowicka - Starogroblowa - Długa - Dmowskiego - Dubois - Pomorska - Kazimierza Wielkiego - Teatralna - Skargi - Kołłątaja - Peronowa - Borowska - Gliniana - Hubska - Bardzka - Świeradowska - GAJ",0,31,"2024-11-12","2999-01-01"
19,3,"19","","ZOO - Wróblewskiego - Piastowska - Sienkiewicza - Drobnera - Dubois - Dmowskiego - Długa - Popowicka - Pilczycka - Dokerska - KOZANÓW (DOKERSKA)|GÓRNICZA - Pilczycka - Popowicka - Starogroblowa - Długa - Dmowskiego - Dubois - Drobnera - Sienkiewicza - Wróblewskiego - ZOO",0,31,"2024-11-12","2999-01-01"
20,3,"20","","LEŚNICA - Średzka - Kosmonautów - Lotnicza - Legnicka - Złotoryjska - TAT - Podwale - Świdnicka - Powstańców Śląskich - Aleja Hallera - Grabiszyńska - OPORÓW|OPORÓW - Aleja Hallera - Powstańców Śląskich - pl. Powstańców Śląskich - Powstańców Śląskich - Świdnicka - Podwale - TAT - Śrubowa - Złotoryjska - Legnicka - Lotnicza - Kosmonautów - Średzka - LEŚNICA",0,31,"2024-11-12","2999-01-01"
21,3,"21","","GAJ - Świeradowska - Bardzka - Hubska - Gliniana - Borowska - Stawowa - Piłsudskiego - Legnicka - Pilczycka - Maślicka - Pilczycka - TARCZYŃSKI ARENA (KRÓLEWIECKA)|TARCZYŃSKI ARENA (KRÓLEWIECKA) - Maślicka - Pilczycka - Legnicka - Piłsudskiego - Borowska - Gliniana - Hubska - Bardzka - Świeradowska - GAJ",0,31,"2024-11-12","2999-01-01"
